tag,Tokoyami Towa,Mori Calliope,Takane Lui,Ookami Mio,Kageyama Shien,Hakos Baelz,Hoshimachi Suisei,Vestia Zeta,Rikka,Yatogami Fuma,Ayunda Risu,Kazama Iroha,Nakiri Ayame,Tsunomaki Watame,Shiranui Flare,Kishido Temma,Kobo Kanaeru,Astel Leda,Minase Rio,Ninomae Ina'nis,Himemori Luna,Axel Syrios,Inugami Korone,Kanade Izuru,Momosuzu Nene,Hakui Koyori,Pavolia Reine,Moona Hoshinova,Takanashi Kiara,Yuzuki Choco,Shirogane Noel,Oozora Subaru,Shishiro Botan,Nekomata Okayu,Robocosan,Sakura Miko,Anya Melfissa,Aki Rosenthal,Aragami Oga,IRyS,Amane Kanata,Ouro Kronii,Yukoku Roberu,Airani Iofifteen,Yukihana Lamy,Usada Pekora,Arurandeisu,Natsuiro Matsuri,Regis Altare,Shirakami Fubuki,Houshou Marine,Utsugi Uyu,Kaela Kovalskia,Kureiji Ollie,AZKi,Omaru Polka,Tokino Sora,Hanasaki Miyabi,La+ Darknesss
local multiplayer,7.181312421545106e-12,1.4532254749218967e-06,0.0,0.0,0.0,0.0,0.0,9.374092203195797e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.118280527123965e-05,0.0,4.3922363878560935e-07,3.66093675113874e-25,0.0,0.0,0.0,5.7536062141035204e-21,1.0597094241656722e-05,0.0,0.0,0.0,8.39144300970009e-21,0.0,1.7586638019419784e-06,0.0,8.536850912858531e-20,0.0,0.0,0.0,0.0,2.2976409558189003e-06,0.0006271377893276185,0.0,0.0,0.0,0.0,0.00014987561415580588,2.251798270468181e-06,2.4542274218512626e-15,0.0,0.0,2.017964244410596e-07,0.0,0.0,0.0,0.0,1.369439971190126e-20,0.0,0.0,0.0,0.0,0.00029426272485866674,3.5959419109850936e-05,2.0522122934046895e-05
lovecraftian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42743239970835e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8587023731327985e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031175796308417e-21,0.0,0.0,0.0,0.0,0.0,0.0,4.551828769698218e-13,0.0,0.0,0.0,4.4460476025486385e-21,0.0,0.0,0.0,0.0,0.0,0.0
magic,7.064543245972079e-25,0.0,2.6186020318896882e-23,9.006832761320816e-23,0.0,0.0,0.0,0.0003421894881390786,0.0,1.4775262773895034e-12,0.0,0.0,0.0,0.0,0.0,9.11411393164064e-13,1.9837891164840924e-09,2.920830903478032e-15,3.5151030473091664e-15,0.0,0.0,6.900820769068569e-14,0.0022318359805680588,1.5727319018840407e-07,0.001134874940748273,0.0,0.0,1.4280349534560563e-22,0.0,0.0,0.0,6.309340475546036e-25,0.0011916055005097733,0.0,4.240041726091532e-24,1.8696222661492875e-23,0.00013015507768554966,8.894622787804216e-15,0.0,0.0,0.0,0.0,9.162450105195528e-24,0.0,0.0,8.184354629533033e-24,1.4359933661976167e-13,2.0407650508720076e-14,0.005417736724805354,1.1620608421286913e-24,0.0,3.046356677264548e-20,1.148571666712773e-16,0.0,0.0,9.355948614329089e-25,0.0,1.4517299583690266e-18,0.0
management,0.0,2.268131104578654e-22,0.0,2.824242191192963e-09,0.0,2.9990670200900684e-09,7.937367647173727e-13,1.0603833349147782e-15,0.0,0.0,0.0,0.0,1.1932631974783247e-18,6.8739269865647e-09,0.0,0.0,0.0,0.0,0.0,2.697074795540698e-08,1.5126657315433224e-13,1.1904793162767163e-11,2.084328264893667e-14,0.0,0.0,3.496514118497854e-14,5.200612849815751e-10,5.264675143597757e-10,1.733828906631727e-15,0.0,0.0,0.0,0.0,1.4567774302124751e-09,0.0,1.24046850406025e-19,1.3289805498361837e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0037314276727106813,0.0,1.6453097602684956e-12,0.0,0.0,5.017561138286225e-12,0.0,0.0,0.0,1.3935344749982816e-08,4.673558523517584e-09,0.0,0.0,0.0,0.0,0.0
martial arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.504954703926596e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.73956226558811e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29308982545941e-12,0.0,1.903286496142535e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maze,0.0,0.0,0.0,0.0,0.0,0.0,5.409124900879324e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.590150426335853e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medieval,0.0,0.0,0.0,2.9612739045639907e-22,0.0,0.0,0.0,0.0,0.0,2.0779378511800834e-14,2.1722536605333095e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.92083089141983e-15,3.5151030473091664e-15,0.0,2.565900534107257e-24,0.0,0.0,9.738423541037024e-16,0.0,3.3867208657021345e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.3974803330079236e-22,0.0,0.0,0.0,0.0,8.894622787804216e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.921100611477424e-22,0.0,0.0,2.0407650483254832e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
memes,0.0,8.219096163395921e-09,0.0,0.0,0.0,0.0,0.0,6.76130295278765e-16,0.0,0.0,0.0,0.0,0.0,1.9530911203789337e-24,0.0,0.0,0.0,0.0,1.8539517200252916e-24,1.0759337536107489e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79049634954181e-23,0.0,0.0,0.0,0.0,2.540024187439273e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039081870197234e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metroidvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1641263598299519e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00458770240856745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3046798393184107e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.851500872190834e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
military,8.254927436927473e-10,5.023945223865222e-12,0.0,0.0,0.0,0.00011449712329398219,0.0,0.0,0.0,0.0024668545535821403,0.0,0.0,0.0,0.0,0.0,0.0,2.580373552100816e-14,0.0003522156885283831,0.0,0.0,1.2919054227976056e-10,0.0004287845933207543,0.00011681363894806356,0.0008144138701329239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039144649254522525,0.0,0.0,0.0,0.0,0.004565150173414574,0.0,3.776526207647264e-05,1.8065420405370507e-05,0.0,0.0,0.0,0.0,0.0,0.001259855456586244,3.8192685464420904e-05,2.8811751474454706e-10,5.834410717030431e-11,0.0,2.9380163517464886e-06,0.0,0.0,0.0,0.0,0.0,0.06419131806084084,0.0
mini golf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0023762091609504e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minimalist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76130295278765e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8539517200252916e-24,1.0759337536107489e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79049634954181e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1528340443745978e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039081870197234e-24,4.4608689442793945e-11,1.0041099949519419e-10,0.0,0.0,0.0,0.0,4.0175011637958097e-11,2.545187272166334e-09,0.0,0.0,0.0,1.3876617977410773e-06,0.0,0.0
mining,0.0,0.0,3.014964656787492e-11,0.0,0.0,0.0,0.0,3.54407952500448e-24,0.0,0.0,0.043891281342620055,0.0,0.0,3.7397575753265455e-25,7.135096927585043e-11,0.0,0.06152835670343221,0.0,0.0,0.0,0.0,0.0,2.8780457629240445e-24,0.0,0.0,0.0,0.0,0.05264223988704041,5.155127403700644e-11,0.0,0.0,1.500562216160995e-11,8.604014866831975e-25,1.6389570232899246e-11,0.0,0.0,1.1834623861146e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0636139939550109,0.0,3.472202177897053e-11,1.7530157928105414e-25,0.0,0.0,5.564228621046176e-12,0.0,0.0,7.313808102273317e-08,0.001379787096013996,0.0,6.712284394051483e-11,0.0,0.0,0.0
